564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
3365,,,2435,2120,,865,,,,,,1931.5,,,,1018.5,
3395,,,2435,2115,,790,,,,,,1891.5,,,,1013.5,
3345,,,2415,2095,,740,,,,,,1831.5,,,,938.5,
3285,,,2400,2000,,680,,,,,,2776.5,,,,963.5,
3550,,,2400,1925,,660,,,,,,2701.5,,,,903.5,
3485,,,2345,1910,,655,,,,,,2641.5,,,,953.5,
3465,,,2275,1875,,610,,,,,,2661.5,,,,913.5,
3385,,,2200,1800,,535,,,,,,2591.5,,,,873.5,
3340,,,2125,1725,,470,,,,,,2541.5,,,,793.5,
3305,,,2120,1675,,425,,,,,,2456.5,,,,718.5,
3265,,,2045,1590,,365,,,,,,2416.5,,,,678.5,
3210,,,2000,1625,,375,,,,,,2366.5,,,,598.5,
3200,,,2020,1585,,300,,,,,,2326.5,,,,548.5,
3575,,,1945,1505,,275,,,,,,2246.5,,,,553.5,
3520,,,1915,1430,,625,,,,,,2196.5,,,,478.5,
3455,,,1855,1390,,625,,,,,,2116.5,,,,413.5,
3405,,,1975,1360,,590,,,,,,2051.5,,,,338.5,
3400,,,1990,1370,,545,,,,,,2036.5,,,,263.5,
3310,,,1935,1325,,480,,,,,,1986.5,,,,208.5,
3240,,,1895,1255,,440,,,,,,1906.5,,,,238.5,
3175,,,1860,1185,,400,,,,,,1861.5,,,,263.5,
3115,,,1800,1125,,380,,,,,,1841.5,,,,198.5,
3050,,,1745,1055,,320,,,,,,1781.5,,,,133.5,
3435,,,1695,1060,,290,,,,,,1716.5,,,,143.5,
3375,,,1900,980,,225,,,,,,1676.5,,,,63.5,
3295,,,1900,940,,200,,,,,,1626.5,,,,3.5,
3305,,,2245,885,,135,,,,,,1691.5,,,,3.5,
3235,,,2360,820,,130,,,,,,1721.5,,,,3.5,
3180,,,2290,1140,,90,,,,,,1796.5,,,,3.5,
3395,,,2215,1100,,35,,,,,,1796.5,,,,3.5,
3460,,,2145,1010,,0,,,,,,1806.5,,,,3.5,
3460,,,2190,1035,,0,,,,,,1766.5,,,,3.5,
3475,,,2480,965,,0,,,,,,1726.5,,,,3.5,
3475,,,2440,885,,0,,,,,,1661.5,,,,3.5,
3985,,,2390,875,,,,,,,,1666.5,,,,3.5,
3990,,,2345,875,,,,,,,,1596.5,,,,3.5,
4020,,,2315,865,,,,,,,,1591.5,,,,3.5,
4020,,,2355,850,,,,,,,,1541.5,,,,3.5,
3965,,,2355,880,,,,,,,,1476.5,,,,3.5,
4010,,,2375,815,,,,,,,,1396.5,,,,3.5,
4045,,,2375,750,,,,,,,,1386.5,,,,3.5,
3990,,,2350,750,,,,,,,,1386.5,,,,,
3935,,,2295,750,,,,,,,,1346.5,,,,,
3840,,,2280,770,,,,,,,,1271.5,,,,,
3840,,,2265,775,,,,,,,,1226.5,,,,,
3835,,,2230,770,,,,,,,,1191.5,,,,,
3835,,,2235,695,,,,,,,,1156.5,,,,,
3740,,,2220,635,,,,,,,,1116.5,,,,,
3775,,,2200,545,,,,,,,,1031.5,,,,,
3725,,,2175,475,,,,,,,,971.5,,,,,
3740,,,2150,505,,,,,,,,1021.5,,,,,
3755,,,2115,470,,,,,,,,961.5,,,,,
3725,,,2055,715,,,,,,,,1116.5,,,,,
3695,,,2120,725,,,,,,,,1081.5,,,,,
3665,,,2060,720,,,,,,,,1326.5,,,,,
3705,,,1975,690,,,,,,,,1321.5,,,,,
3690,,,1905,1490,,,,,,,,1321.5,,,,,
3645,,,1825,1485,,,,,,,,1561.5,,,,,
3575,,,1760,1485,,,,,,,,1561.5,,,,,
3555,,,1755,1485,,,,,,,,1561.5,,,,,
3565,,,1735,1485,,,,,,,,1561.5,,,,,
3760,,,1695,1485,,,,,,,,1561.5,,,,,
3935,,,1640,1485,,,,,,,,1561.5,,,,,
4060,,,1770,1470,,,,,,,,1561.5,,,,,
3985,,,1730,1910,,,,,,,,1561.5,,,,,
3915,,,1665,1865,,,,,,,,1506.5,,,,,
3890,,,1610,1895,,,,,,,,1456.5,,,,,
3830,,,1650,1815,,,,,,,,1436.5,,,,,
3760,,,1575,1745,,,,,,,,1421.5,,,,,
3705,,,1595,1670,,,,,,,,1421.5,,,,,
3705,,,2060,1595,,,,,,,,1421.5,,,,,
3620,,,1985,1520,,,,,,,,1421.5,,,,,
3555,,,2000,1450,,,,,,,,1411.5,,,,,
3480,,,1930,1410,,,,,,,,1371.5,,,,,
3445,,,2055,1340,,,,,,,,1321.5,,,,,
3385,,,1985,1265,,,,,,,,1351.5,,,,,
3310,,,2285,1185,,,,,,,,1351.5,,,,,
3250,,,2210,1145,,,,,,,,1336.5,,,,,
3175,,,2155,1075,,,,,,,,1371.5,,,,,
3135,,,2100,1025,,,,,,,,1371.5,,,,,
3135,,,2045,975,,,,,,,,1371.5,,,,,
3595,,,1975,895,,,,,,,,1371.5,,,,,
3595,,,1945,1075,,,,,,,,1311.5,,,,,
3530,,,1950,1005,,,,,,,,1241.5,,,,,
3475,,,1875,925,,,,,,,,1401.5,,,,,
3435,,,1825,870,,,,,,,,1566.5,,,,,
3360,,,1790,1325,,,,,,,,1491.5,,,,,
3615,,,1735,1250,,,,,,,,1411.5,,,,,
3545,,,1690,2675,,,,,,,,1576.5,,,,,
3675,,,1805,2600,,,,,,,,1971.5,,,,,
3660,,,1730,2525,,,,,,,,1896.5,,,,,
3635,,,1670,2905,,,,,,,,1836.5,,,,,
3580,,,1620,2830,,,,,,,,1796.5,,,,,
3505,,,1545,2755,,,,,,,,1731.5,,,,,
3435,,,1505,2680,,,,,,,,1666.5,,,,,
3895,,,1440,2655,,,,,,,,1596.5,,,,,
3815,,,1405,2655,,,,,,,,1536.5,,,,,
3760,,,1415,2655,,,,,,,,1481.5,,,,,
3725,,,1340,2590,,,,,,,,1961.5,,,,,
3740,,,1515,2565,,,,,,,,1886.5,,,,,
3710,,,1455,2495,,,,,,,,1921.5,,,,,
3655,,,1375,2455,,,,,,,,1871.5,,,,,
3580,,,1310,2415,,,,,,,,2306.5,,,,,
3505,,,1260,2345,,,,,,,,2271.5,,,,,
3430,,,1205,2335,,,,,,,,2251.5,,,,,
3355,,,1130,2290,,,,,,,,2291.5,,,,,
3310,,,1110,2235,,,,,,,,2231.5,,,,,
3340,,,1035,2170,,,,,,,,2166.5,,,,,
3490,,,960,2115,,,,,,,,2091.5,,,,,
3435,,,880,2115,,,,,,,,2071.5,,,,,
3365,,,970,2045,,,,,,,,2016.5,,,,,
4830,,,960,1970,,,,,,,,1936.5,,,,,
4760,,,915,1905,,,,,,,,1976.5,,,,,
4685,,,1245,1865,,,,,,,,1986.5,,,,,
4615,,,1175,2245,,,,,,,,1906.5,,,,,
4540,,,1140,2175,,,,,,,,1911.5,,,,,
4465,,,1125,2165,,,,,,,,2111.5,,,,,
4405,,,1145,2165,,,,,,,,2046.5,,,,,
4625,,,1115,2165,,,,,,,,1991.5,,,,,
4595,,,1075,2165,,,,,,,,2016.5,,,,,
4520,,,1075,2165,,,,,,,,1946.5,,,,,
4445,,,1410,2165,,,,,,,,2106.5,,,,,
4370,,,1695,2165,,,,,,,,2041.5,,,,,
4295,,,1685,2165,,,,,,,,1966.5,,,,,
4250,,,1685,3290,,,,,,,,1906.5,,,,,
