564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
 24535,,, 23455, 21680,,,,,,,, 10123.5,,,,,
 24630,,, 23540, 21740,,,,,,,, 10198.5,,,,,
 24630,,, 23625, 21795,,,,,,,, 10303.5,,,,,
 24635,,, 23690, 21860,,,,,,,, 10398.5,,,,,
 24665,,, 23765, 21955,,,,,,,, 10443.5,,,,,
 24760,,, 23860, 22015,,,,,,,, 10513.5,,,,,
 24895,,, 23960, 22105,,,,,,,, 10598.5,,,,,
 24975,,, 24045, 22175,,,,,,,, 10688.5,,,,,
 25080,,, 24140, 22335,,,,,,,, 10808.5,,,,,
 25185,,, 24225, 22420,,,,,,,, 10878.5,,,,,
 25255,,, 24285, 22775,,,,,,,, 11113.5,,,,,
 25355,,, 24510, 22835,,,,,,,, 11158.5,,,,,
 25435,,, 24570, 22850,,,,,,,, 11513.5,,,,,
 25525,,, 24655, 22900,,,,,,,, 11568.5,,,,,
 25610,,, 24725, 23890,,,,,,,, 11568.5,,,,,
 25715,,, 24805, 23895,,,,,,,, 11808.5,,,,,
 25785,,, 24880, 23895,,,,,,,, 11808.5,,,,,
 25845,,, 24965, 23895,,,,,,,, 11808.5,,,,,
 25935,,, 25065, 23895,,,,,,,, 11808.5,,,,,
 26250,,, 25175, 23895,,,,,,,, 11808.5,,,,,
 26565,,, 25250, 23895,,,,,,,, 11808.5,,,,,
 26820,,, 25510, 23910,,,,,,,, 11808.5,,,,,
 26895,,, 25590, 24470,,,,,,,, 11808.5,,,,,
 26965,,, 25655, 24545,,,,,,,, 11873.5,,,,,
 27050,,, 25740, 24675,,,,,,,, 11943.5,,,,,
 27120,,, 25900, 24755,,,,,,,, 12073.5,,,,,
 27190,,, 25975, 24825,,,,,,,, 12098.5,,,,,
 27295,,, 26075, 24900,,,,,,,, 12098.5,,,,,
 27395,,, 26660, 24975,,,,,,,, 12098.5,,,,,
 27490,,, 26735, 25050,,,,,,,, 12098.5,,,,,
 27555,,, 26850, 25120,,,,,,,, 12138.5,,,,,
 27630,,, 26930, 25190,,,,,,,, 12238.5,,,,,
 27715,,, 27195, 25260,,,,,,,, 12318.5,,,,,
 27815,,, 27275, 25335,,,,,,,, 12348.5,,,,,
 27890,,, 27715, 25415,,,,,,,, 12348.5,,,,,
 27970,,, 27790, 25475,,,,,,,, 12403.5,,,,,
 28045,,, 27845, 25555,,,,,,,, 12488.5,,,,,
 28115,,, 27920, 25615,,,,,,,, 12488.5,,,,,
 28235,,, 28025, 25705,,,,,,,, 12488.5,,,,,
 28815,,, 28095, 25795,,,,,,,, 12488.5,,,,,
 28945,,, 28215, 26085,,,,,,,, 12548.5,,,,,
 29010,,, 28350, 26155,,,,,,,, 12618.5,,,,,
 29095,,, 28425, 26235,,,,,,,, 12908.5,,,,,
 29195,,, 28495, 26290,,,,,,,, 13193.5,,,,,
 29270,,, 28570, 26875,,,,,,,, 13268.5,,,,,
 29645,,, 28655, 26950,,,,,,,, 13348.5,,,,,
 29715,,, 28720, 28495,,,,,,,, 13633.5,,,,,
 29975,,, 28995, 28570,,,,,,,, 14148.5,,,,,
 30110,,, 29070, 28645,,,,,,,, 14223.5,,,,,
 30185,,, 29150, 29155,,,,,,,, 14283.5,,,,,
 30260,,, 29240, 29230,,,,,,,, 14373.5,,,,,
 30335,,, 29315, 29305,,,,,,,, 14478.5,,,,,
 30405,,, 29395, 29380,,,,,,,, 14543.5,,,,,
 30975,,, 29460, 29405,,,,,,,, 14633.5,,,,,
 31055,,, 29545, 29405,,,,,,,, 14693.5,,,,,
 31140,,, 29725, 29405,,,,,,,, 14808.5,,,,,
 31235,,, 29800, 29470,,,,,,,, 15388.5,,,,,
 31360,,, 30115, 29575,,,,,,,, 15473.5,,,,,
 31480,,, 30185, 29645,,,,,,,, 15598.5,,,,,
 31535,,, 30265, 29735,,,,,,,, 15698.5,,,,,
 31610,,, 30330, 29815,,,,,,,, 16263.5,,,,,
 31685,,, 30420, 29885,,,,,,,, 16358.5,,,,,
 31760,,, 30515, 29975,,,,,,,, 16448.5,,,,,
