1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
,,2415,,2000,2470,2755,,,,,,,,1400,970,,
,,2350,,1940,2470,2985,,,,,,,,1705,915,,
,,2305,,1895,2470,2935,,,,,,,,1675,850,,
,,2225,,1845,2470,2900,,,,,,,,1700,780,,
,,2165,,1785,2470,2840,,,,,,,,1615,1220,,
,,2405,,1715,2470,2750,,,,,,,,1590,1165,,
,,2425,,1670,2470,2690,,,,,,,,1505,1085,,
,,2425,,1595,2470,2610,,,,,,,,1420,1015,,
,,3150,,1540,2470,2625,,,,,,,,1385,940,,
,,3650,,1520,2470,2580,,,,,,,,1335,860,,
,,3775,,1480,2470,2520,,,,,,,,1285,825,,
,,3775,,1430,2470,2455,,,,,,,,1205,755,,
,,3725,,1355,2470,2375,,,,,,,,1120,715,,
,,3655,,1305,3970,2355,,,,,,,,1090,1045,,
,,3575,,1735,3970,2300,,,,,,,,1050,1150,,
,,3920,,1700,3970,2240,,,,,,,,1000,1095,,
,,3920,,1635,3970,2520,,,,,,,,1055,1085,,
,,3920,,1560,3970,2480,,,,,,,,965,1105,,
,,3920,,2185,3970,2450,,,,,,,,915,1050,,
,,3920,,2115,3970,2380,,,,,,,,935,975,,
,,3920,,2040,3970,2320,,,,,,,,920,945,,
,,3920,,1995,3970,2290,,,,,,,,885,2115,,
,,3920,,1980,3970,2275,,,,,,,,1250,2075,,
,,3920,,2580,3970,2630,,,,,,,,1155,2225,,
,,,,2505,4220,2580,,,,,,,,1130,2335,,
,,,,2485,4220,2525,,,,,,,,1040,2725,,
,,,,2410,4520,2475,,,,,,,,980,2655,,
,,,,2375,4520,2410,,,,,,,,945,2630,,
,,,,2890,4520,2330,,,,,,,,920,10665,,
,,,,2830,4520,3655,,,,,,,,1225,10675,,
,,,,2785,4520,3585,,,,,,,,1600,10100,,
,,,,2820,4520,3550,,,,,,,,2305,10030,,
,,,,2785,4520,3550,,,,,,,,2250,10005,,
,,,,2785,4520,3550,,,,,,,,2205,9960,,
,,,,2785,4520,,,,,,,,,2155,9965,,
,,,,2770,4520,,,,,,,,,2105,9975,,
,,,,2750,4520,,,,,,,,,2085,9885,,
,,,,2750,4520,,,,,,,,,2025,9825,,
,,,,2745,4520,,,,,,,,,1940,9750,,
,,,,2690,4520,,,,,,,,,1890,9710,,
,,,,2690,4520,,,,,,,,,1830,9710,,
,,,,2685,4520,,,,,,,,,1805,9710,,
,,,,2680,4520,,,,,,,,,1835,9700,,
,,,,2670,4520,,,,,,,,,1785,9730,,
,,,,2675,4520,,,,,,,,,1735,9690,,
,,,,2680,4520,,,,,,,,,1670,9700,,
,,,,2665,4520,,,,,,,,,1620,9675,,
,,,,2590,4520,,,,,,,,,1545,9625,,
,,,,2560,4520,,,,,,,,,1800,9630,,
